iter	RMSE
0	2.530799832
1	2.434736082
2	2.344857354
3	2.258748323
4	2.17933741
5	2.104938602
6	2.035035885
7	1.968898132
8	1.907889379
9	1.8493686
10	1.795853284
11	1.746604718
12	1.699330438
13	1.656107603
14	1.614908263
15	1.576784379
16	1.542099941
17	1.509282383
18	1.479041024
19	1.451287031
20	1.425219855
21	1.401340043
22	1.378369028
23	1.356721191
24	1.336254496
25	1.318479955
26	1.302062806
27	1.287149946
28	1.27216376
29	1.258804644
30	1.247131744
31	1.236661528
32	1.227204471
33	1.216872369
34	1.208275418
35	1.199832565
36	1.191676134
37	1.185610021
38	1.179614831
39	1.174273232
40	1.168444839
41	1.163289847
42	1.158884245
43	1.153970621
44	1.148964864
45	1.144983039
46	1.140772694
47	1.135963372
48	1.132325447
49	1.128280212
50	1.124540557
51	1.121629358
52	1.118840479
53	1.116175871
54	1.11332195
55	1.110843747
56	1.108166916
57	1.105135025
58	1.103257762
59	1.101136144
60	1.098814832
61	1.096406255
62	1.09426346
63	1.092531169
64	1.090618205
65	1.08923398
66	1.087846252
67	1.08675634
68	1.085117233
69	1.083952347
70	1.081899808
71	1.08017178
72	1.078249104
73	1.076304384
74	1.07471731
75	1.073288823
76	1.071582929
77	1.069502098
78	1.067839067
79	1.066617089
80	1.065176392
81	1.063711681
82	1.061920821
83	1.060707991
84	1.060139884
85	1.058667352
86	1.057725937
87	1.056261034
88	1.054891764
89	1.053553632
90	1.05196924
91	1.050529124
92	1.049768405
93	1.048534184
94	1.047562987
95	1.046753051
96	1.045889778
97	1.044675868
98	1.043401321
99	1.042260715
100	1.041469799
101	1.03989969
102	1.038370951
103	1.036789842
104	1.035964401
105	1.034695417
106	1.03357409
107	1.032470527
108	1.031232819
109	1.030537582
110	1.029744429
111	1.028941144
112	1.027921686
113	1.027185585
114	1.0259403
115	1.025026224
116	1.023721598
117	1.02279629
118	1.021925962
119	1.021450729
120	1.019959611
121	1.019251003
122	1.018239251
123	1.017580997
124	1.01619019
125	1.015125295
126	1.014541408
127	1.013997507
128	1.013169737
129	1.012328763
130	1.011319573
131	1.010659384
132	1.009932449
133	1.009065888
134	1.008908733
135	1.008193805
136	1.007291259
137	1.006793819
138	1.005881788
139	1.005047639
140	1.004813627
141	1.003948143
142	1.002881989
143	1.001664632
144	1.000742292
145	0.9998342739
146	0.9992482526
147	0.9986664263
148	0.9978382785
149	0.997114144
150	0.9962112619
151	0.9954639387
152	0.9945146774
153	0.9929271771
154	0.9916287364
155	0.9908374965
156	0.9896135626
157	0.9891861437
158	0.9882562741
159	0.9875409491
160	0.986656895
161	0.9853170363
162	0.9840500382
163	0.9832147395
164	0.9822187081
165	0.9814850026
166	0.9802787488
167	0.9796846617
168	0.9791885598
169	0.9779820833
170	0.9767535761
171	0.9758906156
172	0.9751082734
173	0.9745576259
174	0.9736381718
175	0.9729308975
176	0.9724433243
177	0.9715005812
178	0.9709849272
179	0.9704443142
180	0.9693465502
181	0.9687150858
182	0.9677014188
183	0.9665694714
184	0.9656860061
185	0.9652392499
186	0.9641603292
187	0.9637959229
188	0.9631265575
189	0.9617862533
190	0.9610022011
191	0.9600642935
192	0.9588511762
193	0.9579018786
194	0.9572937933
195	0.9570521595
196	0.955927087
197	0.9550569636
198	0.9538903
199	0.9527161063
200	0.9516380026
201	0.950900557
202	0.9505845721
203	0.949740743
204	0.9491116246
205	0.9486767045
206	0.9477956477
207	0.9468371596
208	0.946009982
209	0.945298252
210	0.9441260649
211	0.9438517614
212	0.942486117
213	0.9415169921
214	0.9409904997
215	0.9401388315
216	0.9394278105
217	0.9385188281
218	0.9377554551
219	0.9369092688
220	0.9366651982
221	0.9356162715
222	0.9350013016
223	0.9341557674
224	0.9334235349
225	0.9328900378
226	0.9322790298
227	0.9316773482
228	0.9307824669
229	0.9296561338
230	0.9284254047
231	0.9272353978
232	0.9259631973
233	0.9250826941
234	0.9239505754
235	0.9231975886
236	0.9225395412
237	0.9219948479
238	0.9213685643
239	0.9207339125
240	0.9201089347
241	0.9192273638
242	0.9181951563
243	0.9173252121
244	0.9164933076
245	0.915971068
246	0.9153987142
247	0.9144341341
248	0.9135693122
249	0.9128234528
250	0.912044365
251	0.9108962857
252	0.9101941432
253	0.9097127646
254	0.9090314347
255	0.9086075058
256	0.9080017238
257	0.9075741692
258	0.9068028894
259	0.9061588827
260	0.9055761211
261	0.905181991
262	0.9043852353
263	0.9038805052
264	0.9033920862
265	0.9030054951
266	0.9025946791
267	0.9016714645
268	0.9007097558
269	0.9000762929
270	0.8994013924
271	0.8988268675
272	0.8981605908
273	0.8971560612
274	0.8964234271
275	0.8958518609
276	0.8949399471
277	0.8945535499
278	0.8940966639
279	0.8932406159
280	0.8928618527
281	0.8918357512
282	0.8913946142
283	0.8907776577
284	0.8901760761
285	0.8898677646
286	0.8892746437
287	0.8884493001
288	0.8876723573
289	0.8871707631
290	0.8867302414
291	0.8863255549
292	0.885294868
293	0.8850105506
294	0.8844916847
295	0.8840699799
296	0.8835928582
297	0.8826056512
298	0.8821727791
299	0.8817605239
300	0.881051085
301	0.879659253
302	0.8792855176
303	0.8786436145
304	0.8782597093
305	0.8777671437
306	0.8768002577
307	0.8762498212
308	0.8757001921
309	0.8753816016
310	0.8752476014
311	0.8745691047
312	0.8737117922
313	0.8733856676
314	0.8724884649
315	0.8721384265
316	0.8718065201
317	0.8713893081
318	0.8709707936
319	0.870196633
320	0.8694421615
321	0.8689599442
322	0.8686630641
323	0.8681283756
324	0.8674258851
325	0.8665700576
326	0.8663144252
327	0.8657876336
328	0.8654047469
329	0.8646607394
330	0.8643869087
331	0.8640688433
332	0.8632180077
333	0.8626871541
334	0.8619450381
335	0.8615964362
336	0.8611260018
337	0.8608569476
338	0.8601912677
339	0.8594183531
340	0.8589652746
341	0.8585596751
342	0.8580792059
343	0.8578337559
344	0.8574977814
345	0.857015171
346	0.8567932194
347	0.8562281444
348	0.855465573
349	0.8550036249
350	0.8543727233
351	0.8538638109
352	0.8532647591
353	0.8523246807
354	0.8521553464
355	0.8512544871
356	0.8510794573
357	0.8507324284
358	0.8502052912
359	0.8495376134
360	0.849362411
361	0.8491380138
362	0.8484230779
363	0.847981459
364	0.8475663423
365	0.8471383243
366	0.8463023921
367	0.8456305547
368	0.8452803826
369	0.8449184749
370	0.8440647332
371	0.8435172522
372	0.8430036869
373	0.8423691647
374	0.8420332548
375	0.8411305391
376	0.8403214683
377	0.8397119108
378	0.8393066551
379	0.8386123497
380	0.8379881429
381	0.8373270811
382	0.8365883057
383	0.836125915
384	0.8358641765
385	0.8353513257
386	0.834588382
387	0.8343963776
388	0.8339833656
389	0.833557228
390	0.8330343253
391	0.8321203022
392	0.8316384312
393	0.8309751114
394	0.8306228678
395	0.8303380179
396	0.829698135
397	0.8290838049
398	0.8281595151
399	0.8274081326
