iter	Passed	Remaining
0	7	2928
1	13	2648
2	19	2640
3	25	2524
4	30	2441
5	36	2410
6	41	2335
7	47	2321
8	53	2320
9	58	2295
10	65	2314
11	70	2294
12	76	2270
13	81	2247
14	86	2214
15	93	2239
16	98	2209
17	103	2196
18	108	2174
19	113	2150
20	119	2161
21	125	2147
22	129	2130
23	135	2115
24	140	2104
25	146	2108
26	153	2114
27	158	2099
28	163	2097
29	169	2088
30	176	2105
31	182	2094
32	187	2089
33	193	2081
34	199	2081
35	205	2081
36	211	2075
37	216	2064
38	223	2064
39	228	2053
40	234	2052
41	239	2040
42	244	2031
43	250	2022
44	255	2014
45	260	2005
46	267	2008
47	273	2003
48	277	1990
49	284	1989
50	289	1981
51	295	1974
52	300	1970
53	306	1966
54	312	1963
55	319	1963
56	325	1958
57	331	1953
58	338	1954
59	343	1947
60	349	1942
61	355	1935
62	361	1933
63	367	1928
64	373	1926
65	380	1926
66	387	1924
67	393	1923
68	400	1923
69	406	1918
70	415	1923
71	422	1923
72	428	1921
73	435	1917
74	440	1909
75	446	1904
76	452	1899
77	458	1894
78	465	1892
79	472	1888
80	477	1879
81	482	1871
82	488	1867
83	495	1862
84	501	1856
85	508	1855
86	513	1847
87	519	1842
88	525	1836
89	531	1829
90	537	1825
91	544	1823
92	550	1818
93	557	1815
94	563	1809
95	569	1804
96	576	1800
97	582	1795
98	589	1793
99	597	1791
100	603	1786
101	609	1779
102	614	1772
103	621	1768
104	628	1764
105	633	1758
106	639	1751
107	645	1745
108	652	1742
109	659	1739
110	665	1732
111	671	1727
112	678	1723
113	685	1719
114	690	1711
115	696	1705
116	703	1700
117	709	1694
118	715	1688
119	721	1684
120	728	1680
121	735	1676
122	741	1670
123	747	1663
124	753	1658
125	759	1652
126	765	1645
127	772	1641
128	778	1634
129	785	1631
130	793	1628
131	800	1624
132	807	1620
133	812	1612
134	817	1604
135	823	1598
136	830	1594
137	836	1588
138	842	1582
139	848	1575
140	855	1570
141	861	1564
142	867	1559
143	874	1554
144	881	1549
145	887	1544
146	894	1539
147	900	1533
148	906	1526
149	912	1520
150	918	1514
151	925	1509
152	931	1503
153	937	1497
154	944	1492
155	950	1486
156	957	1481
157	965	1478
158	971	1472
159	977	1465
160	984	1461
161	991	1456
162	997	1450
163	1003	1443
164	1009	1437
165	1016	1432
166	1023	1427
167	1029	1422
168	1036	1416
169	1042	1410
170	1049	1405
171	1055	1399
172	1062	1394
173	1069	1388
174	1076	1383
175	1083	1378
176	1090	1373
177	1096	1367
178	1103	1361
179	1109	1355
180	1115	1349
181	1121	1343
182	1127	1336
183	1132	1329
184	1138	1323
185	1144	1316
186	1150	1310
187	1156	1304
188	1163	1299
189	1169	1292
190	1175	1285
191	1182	1280
192	1188	1274
193	1193	1267
194	1200	1262
195	1208	1257
196	1215	1252
197	1222	1247
198	1229	1241
199	1234	1234
200	1239	1227
201	1245	1220
202	1252	1215
203	1259	1210
204	1266	1204
205	1271	1197
206	1278	1192
207	1284	1186
208	1290	1179
209	1296	1173
210	1302	1167
211	1309	1161
212	1315	1155
213	1321	1148
214	1326	1141
215	1331	1133
216	1337	1127
217	1342	1120
218	1348	1114
219	1355	1109
220	1362	1103
221	1369	1098
222	1375	1091
223	1381	1085
224	1389	1080
225	1396	1075
226	1404	1070
227	1408	1062
228	1415	1056
229	1422	1051
230	1428	1045
231	1434	1039
232	1441	1033
233	1447	1027
234	1454	1021
235	1460	1014
236	1466	1008
237	1472	1001
238	1479	996
239	1486	990
240	1493	985
241	1499	978
242	1506	973
243	1512	966
244	1518	960
245	1523	953
246	1527	946
247	1534	940
248	1539	933
249	1545	927
250	1551	920
251	1557	914
252	1563	908
253	1569	902
254	1576	896
255	1584	891
256	1590	885
257	1596	878
258	1603	872
259	1609	866
260	1616	860
261	1623	855
262	1629	849
263	1636	843
264	1642	836
265	1646	829
266	1651	822
267	1658	816
268	1664	810
269	1671	804
270	1678	798
271	1685	792
272	1691	786
273	1697	780
274	1703	774
275	1709	768
276	1716	762
277	1721	755
278	1728	749
279	1735	743
280	1740	737
281	1747	731
282	1752	724
283	1759	718
284	1766	712
285	1773	707
286	1781	701
287	1787	695
288	1794	689
289	1802	683
290	1808	677
291	1813	670
292	1819	664
293	1825	658
294	1832	652
295	1838	645
296	1842	639
297	1848	632
298	1852	625
299	1857	619
300	1862	612
301	1867	606
302	1874	600
303	1879	593
304	1884	587
305	1890	580
306	1896	574
307	1902	568
308	1907	561
309	1911	555
310	1918	548
311	1924	542
312	1930	536
313	1934	529
314	1940	523
315	1945	517
316	1952	511
317	1959	505
318	1966	499
319	1973	493
320	1979	487
321	1985	480
322	1992	474
323	1997	468
324	2003	462
325	2009	456
326	2014	449
327	2021	443
328	2028	437
329	2034	431
330	2041	425
331	2046	419
332	2052	412
333	2058	406
334	2064	400
335	2070	394
336	2077	388
337	2082	381
338	2089	375
339	2094	369
340	2101	363
341	2107	357
342	2113	351
343	2120	345
344	2126	339
345	2133	332
346	2139	326
347	2145	320
348	2151	314
349	2156	308
350	2163	301
351	2170	295
352	2177	289
353	2182	283
354	2189	277
355	2195	271
356	2201	265
357	2206	258
358	2211	252
359	2217	246
360	2223	240
361	2230	234
362	2237	228
363	2243	221
364	2249	215
365	2256	209
366	2261	203
367	2266	197
368	2273	191
369	2279	184
370	2285	178
371	2290	172
372	2296	166
373	2301	160
374	2307	153
375	2311	147
376	2316	141
377	2322	135
378	2329	129
379	2335	122
380	2341	116
381	2347	110
382	2352	104
383	2357	98
384	2365	92
385	2369	85
386	2376	79
387	2383	73
388	2388	67
389	2396	61
390	2401	55
391	2407	49
392	2414	43
393	2419	36
394	2426	30
395	2432	24
396	2437	18
397	2443	12
398	2449	6
399	2454	0
