Well_ID,Basin,Well_Type,Phase,Depth_From_m,Depth_To_m,Meterage_Drilled_m,Duration_Hours,NPT_Hours,ROP_m_per_hr,Mud_Weight_ppg,Formation,Formation_Hardness,Equipment_Failures,Weather_Severity,Daily_Rig_Rate_USD,Materials_Cost_USD,Service_Cost_USD,Total_Cost_USD
W0001,Permian,Development,Cementing,0,0,0,5.51,0.46,0.0,9.4,Dolomite,5,0,4,45757,36156,23795,71333.05
W0001,Permian,Development,Tripping,0,0,0,17.16,4.07,0.0,14.29,Sandstone,6,1,4,22764,28174,26748,75058.65
W0001,Permian,Development,Drilling,0,933,933,28.85,0.02,39.89,9.58,Sandstone,7,0,2,30917,23869,15435,76494.57
W0001,Permian,Development,Cementing,933,933,0,9.93,5.75,0.0,11.83,Shale,7,1,9,42342,23684,4767,56114.44
W0001,Permian,Development,Setup,933,933,0,17.32,0.97,0.0,11.21,Dolomite,6,0,7,43035,41780,13621,88197.26
W0001,Permian,Development,Completion,933,933,0,7.2,0.44,0.0,13.44,Shale,4,0,3,40474,39237,20280,72401.22
W0001,Permian,Development,Logging,933,933,0,6.24,0.07,0.0,13.85,Limestone,6,0,5,39632,24083,25797,60299.91
W0001,Permian,Development,Casing,933,933,0,8.86,0.37,0.0,11.36,Dolomite,7,0,6,36607,49154,7222,70454.44
W0001,Permian,Development,Logging,933,933,0,8.5,0.65,0.0,13.15,Dolomite,2,0,3,23788,28294,15645,53008.18
W0001,Permian,Development,Tripping,933,933,0,4.36,0.0,0.0,9.63,Dolomite,5,0,4,44420,35141,14394,57604.63
W0001,Permian,Development,Casing,933,933,0,11.14,0.0,0.0,9.11,Shale,9,0,2,40511,31883,18608,69294.86
W0001,Permian,Development,Drilling,933,2091,1158,25.65,7.22,58.49,9.17,Shale,2,1,4,43670,23018,22370,105197.7
W0001,Permian,Development,Tripping,2091,2091,0,8.9,0.0,0.0,13.81,Shale,9,0,2,33673,23697,25841,62025.07
W0001,Permian,Development,Cementing,2091,2091,0,13.35,0.0,0.0,11.96,Sandstone,7,0,4,42724,21374,23819,68958.23
W0001,Permian,Development,Setup,2091,2091,0,13.4,0.14,0.0,10.93,Limestone,4,0,6,24335,49494,17850,81073.0
W0001,Permian,Development,Casing,2091,2091,0,16.52,2.68,0.0,12.5,Dolomite,4,1,1,40133,25044,13793,70943.4
W0001,Permian,Development,Casing,2091,2091,0,12.33,0.73,0.0,14.77,Limestone,5,0,8,28009,18820,24962,59023.56
W0001,Permian,Development,Setup,2091,2091,0,14.76,0.64,0.0,9.25,Dolomite,4,0,5,41908,36622,28224,91736.97
W0001,Permian,Development,Casing,2091,2091,0,12.88,0.49,0.0,10.72,Sandstone,9,0,9,26906,23541,24439,62968.88
W0001,Permian,Development,Completion,2091,2091,0,8.1,0.52,0.0,15.45,Shale,7,0,3,35994,3200,9665,25792.84
W0001,Permian,Development,Setup,2091,2091,0,9.05,12.7,0.0,9.16,Limestone,9,2,1,42458,21100,11836,71413.56
W0001,Permian,Development,Cementing,2091,2091,0,5.96,7.03,0.0,14.62,Limestone,5,1,3,42402,9784,11649,44383.08
W0001,Permian,Development,Rig Move,2091,2091,0,6.3,3.2,0.0,13.24,Dolomite,3,2,3,29309,14685,4822,31108.48
W0001,Permian,Development,Rig Move,2091,2091,0,13.3,0.33,0.0,9.42,Limestone,4,0,5,20753,36054,3447,51286.97
W0001,Permian,Development,Tripping,2091,2091,0,8.82,0.87,0.0,10.51,Dolomite,2,0,6,47826,16373,28713,64395.75
W0002,North Sea,Appraisal,Rig Move,0,0,0,5.69,0.61,0.0,15.03,Limestone,6,0,5,20195,48345,5813,59459.19
W0002,North Sea,Appraisal,Cementing,0,0,0,5.75,6.88,0.0,12.22,Dolomite,8,1,4,34021,23687,7746,49336.55
W0002,North Sea,Appraisal,Casing,0,0,0,10.6,1.36,0.0,11.68,Dolomite,9,0,8,23411,32944,28915,73525.48
W0002,North Sea,Appraisal,Casing,0,0,0,5.68,1.58,0.0,14.27,Shale,3,1,3,27099,18535,5239,31971.45
W0002,North Sea,Appraisal,Drilling,0,271,271,12.65,1.21,24.46,8.87,Shale,9,1,2,28541,10546,6064,33092.43
W0002,North Sea,Appraisal,Casing,271,271,0,9.09,0.7,0.0,9.77,Sandstone,6,0,7,43779,42705,16558,77121.18
W0002,North Sea,Appraisal,Completion,271,271,0,10.66,0.0,0.0,8.86,Shale,3,0,3,27481,5572,25170,42948.14
W0002,North Sea,Appraisal,Completion,271,271,0,16.47,16.45,0.0,12.1,Limestone,7,3,1,42171,7593,24955,90392.55
W0002,North Sea,Appraisal,Completion,271,271,0,14.23,0.61,0.0,11.42,Limestone,8,0,8,33883,22247,14858,58055.99
W0002,North Sea,Appraisal,Setup,271,271,0,9.24,0.0,0.0,14.91,Dolomite,4,0,4,27063,15546,23989,49954.26
W0002,North Sea,Appraisal,Logging,271,271,0,17.58,1.11,0.0,12.93,Sandstone,5,0,7,29850,28098,16448,67791.69
W0002,North Sea,Appraisal,Drilling,271,1028,757,18.03,1.61,54.24,15.05,Limestone,3,0,7,40843,29458,3450,66331.19
W0002,North Sea,Appraisal,Setup,1028,1028,0,16.52,6.96,0.0,9.17,Limestone,9,1,9,22703,13415,21933,57559.1
W0002,North Sea,Appraisal,Casing,1028,1028,0,13.16,0.35,0.0,14.09,Limestone,6,0,2,25138,36659,23153,73962.6
W0002,North Sea,Appraisal,Tripping,1028,1028,0,5.87,2.4,0.0,13.2,Dolomite,3,1,6,41864,21511,27727,63663.64
W0002,North Sea,Appraisal,Cementing,1028,1028,0,9.83,3.82,0.0,15.05,Limestone,4,1,7,46950,48103,5285,80090.81
W0002,North Sea,Appraisal,Tripping,1028,1028,0,12.85,0.5,0.0,15.41,Shale,7,0,4,38380,24489,5057,50894.88
W0002,North Sea,Appraisal,Rig Move,1028,1028,0,17.61,0.0,0.0,13.3,Limestone,7,0,8,48535,24430,18059,78101.56
W0002,North Sea,Appraisal,Rig Move,1028,1028,0,11.34,4.82,0.0,9.27,Dolomite,2,1,5,35466,46003,22408,92291.44
W0002,North Sea,Appraisal,Tripping,1028,1028,0,17.39,0.17,0.0,14.78,Dolomite,9,0,1,46376,31542,3622,69095.77
W0002,North Sea,Appraisal,Rig Move,1028,1028,0,16.43,0.1,0.0,8.54,Sandstone,3,0,3,28667,33157,27373,80274.4
W0002,North Sea,Appraisal,Setup,1028,1028,0,17.59,2.58,0.0,13.9,Dolomite,2,1,8,38177,48441,27906,108431.59
W0002,North Sea,Appraisal,Cementing,1028,1028,0,7.23,0.75,0.0,14.46,Limestone,8,0,8,36195,37514,16899,66447.84
W0002,North Sea,Appraisal,Tripping,1028,1028,0,8.33,1.66,0.0,8.88,Sandstone,3,0,8,42038,37721,18734,73953.32
W0002,North Sea,Appraisal,Casing,1028,1028,0,6.77,1.48,0.0,13.99,Shale,2,1,1,31291,49021,18166,77943.28
W0003,Eagle Ford,Appraisal,Logging,0,0,0,13.25,6.23,0.0,9.54,Shale,6,1,5,24353,22691,28277,70734.52
W0003,Eagle Ford,Appraisal,Casing,0,0,0,5.91,0.48,0.0,12.78,Shale,7,0,4,22802,15930,18826,40827.03
W0003,Eagle Ford,Appraisal,Tripping,0,0,0,7.48,0.34,0.0,11.43,Shale,7,0,9,32354,46102,2045,58689.01
W0003,Eagle Ford,Appraisal,Tripping,0,0,0,13.05,0.16,0.0,14.01,Shale,3,0,3,37614,32969,18882,72554.37
W0003,Eagle Ford,Appraisal,Drilling,0,574,574,14.95,0.25,50.39,12.14,Limestone,6,0,2,23848,46131,25656,86890.73
W0003,Eagle Ford,Appraisal,Drilling,574,1019,445,15.07,7.38,32.45,9.71,Shale,8,1,3,22329,14749,17393,53028.92
W0003,Eagle Ford,Appraisal,Cementing,1019,1019,0,17.23,0.78,0.0,12.71,Limestone,4,0,1,42280,35749,5454,72930.62
W0003,Eagle Ford,Appraisal,Rig Move,1019,1019,0,8.98,11.25,0.0,8.58,Limestone,6,2,4,42592,20004,27843,83748.51
W0003,Eagle Ford,Appraisal,Cementing,1019,1019,0,6.65,1.51,0.0,14.37,Dolomite,3,0,7,35752,47942,17123,77220.68
W0003,Eagle Ford,Appraisal,Completion,1019,1019,0,10.28,0.27,0.0,9.55,Shale,7,0,2,21236,22255,14911,46500.99
W0003,Eagle Ford,Appraisal,Drilling,1019,2116,1097,24.97,0.87,48.74,10.21,Sandstone,3,0,3,41697,25171,1403,71467.77
W0003,Eagle Ford,Appraisal,Logging,2116,2116,0,14.72,0.9,0.0,12.28,Dolomite,8,0,8,39127,36522,11631,73618.16
W0003,Eagle Ford,Appraisal,Drilling,2116,2800,684,24.16,0.42,33.14,10.88,Limestone,9,0,8,43058,6888,25657,76643.57
W0003,Eagle Ford,Appraisal,Tripping,2800,2800,0,10.38,0.53,0.0,9.84,Shale,8,0,5,31745,9697,1247,25374.75
W0003,Eagle Ford,Appraisal,Drilling,2800,3920,1120,22.43,0.73,60.75,15.37,Limestone,2,0,6,25108,35448,16248,75925.22
W0003,Eagle Ford,Appraisal,Logging,3920,3920,0,15.53,8.4,0.0,9.3,Limestone,6,1,8,34325,23576,26137,83937.89
W0003,Eagle Ford,Appraisal,Cementing,3920,3920,0,14.47,0.0,0.0,13.75,Limestone,8,0,4,24620,15123,24822,54788.81
W0003,Eagle Ford,Appraisal,Cementing,3920,3920,0,16.44,0.51,0.0,15.35,Sandstone,4,0,1,23716,43131,14484,74364.42
W0003,Eagle Ford,Appraisal,Tripping,3920,3920,0,12.89,1.07,0.0,11.11,Sandstone,2,0,8,33334,41306,7913,68608.28
W0003,Eagle Ford,Appraisal,Completion,3920,3920,0,15.41,0.0,0.0,14.11,Shale,2,0,4,23278,37253,22443,74642.42
W0003,Eagle Ford,Appraisal,Rig Move,3920,3920,0,17.73,0.43,0.0,11.31,Sandstone,9,0,3,27889,34187,16387,71676.68
W0003,Eagle Ford,Appraisal,Cementing,3920,3920,0,17.64,1.87,0.0,12.63,Shale,9,0,6,40148,45224,9669,87529.98
W0003,Eagle Ford,Appraisal,Tripping,3920,3920,0,5.36,2.95,0.0,10.57,Dolomite,2,1,3,32746,40564,16473,68375.3
W0003,Eagle Ford,Appraisal,Logging,3920,3920,0,19.96,0.0,0.0,14.91,Sandstone,5,0,5,24104,3954,12378,36378.49
W0003,Eagle Ford,Appraisal,Tripping,3920,3920,0,5.07,0.36,0.0,10.9,Limestone,4,0,2,29054,23210,28931,58714.47
W0004,Bakken,Appraisal,Completion,0,0,0,8.55,0.05,0.0,14.86,Shale,9,0,9,42558,28463,10434,54146.95
W0004,Bakken,Appraisal,Casing,0,0,0,14.46,0.04,0.0,14.62,Sandstone,9,0,7,28990,16802,6144,40460.79
W0004,Bakken,Appraisal,Rig Move,0,0,0,11.01,5.06,0.0,14.2,Limestone,4,1,1,36844,29862,20563,75095.13
W0004,Bakken,Appraisal,Completion,0,0,0,12.99,0.57,0.0,11.53,Limestone,4,0,8,29568,47812,23606,88123.92
W0004,Bakken,Appraisal,Setup,0,0,0,4.66,0.42,0.0,12.11,Dolomite,2,0,9,48793,49245,14198,73770.85
